source	First English Translation	Final Refined Translation
Und ich erblickte auch einen engen und schmalen Pfad, der an der eisernen Stange entlangfhrte, ja, zu dem Baum, bei dem ich stand;	1	1
Freiwillige helfen auf eigene Gefahr. Jugendliche unter 18 drfen nur teilnehmen, wenn sie von einem Elternteil begleitet werden, oder eine Erlaubnis seitens der Erziehungsberechtigten vorliegt.	2	1
Die scheinbar bersprungenen Leerfelder sind die Felder, die in dem von Ancestry.com generierten Index nicht bercksichtigt wurden. Die Stze mit solchen bersprungenen Feldern enthalten den letzten Index, der ber Ancestry.com erstellt wurde. Darin kommen die neuen Felder, die jetzt indexiert werden mssen, noch nicht vor. Das Projekt ist dadurch wesentlich aufwndiger geworden, sodass mehr Indexierungsarbeit als bei den vorigen US-Volkszhlungsprojekten, an denen sich FamilySearch beteiligt hat, erforderlich ist.	2	2
East North Temple Street	1	1
Amerikanische Gebrdensprache ASL mit Untertiteln: am dritten Samstag im Monat um 12:00 Uhr	1	2
Entscheidet sich der Schler dafr, mitzuarbeiten, bt er seine Entscheidungsfreiheit aus, und zwar so, dass der Heilige Geist ihm eine Botschaft bermitteln kann, die auf seine individuellen Bedrfnisse zugeschnitten ist. Wenn die Schler zur Mitarbeit angeregt werden, ist es sehr viel wahrscheinlicher, dass der Heilige Geist noch etwas sehr viel Wichtigeres lehrt als das, was Sie vermitteln knnen.	1	2
Glaube als Strkung der Ehe	2	1
Man kann kommerziell abgeflltes Wasser in PET-Behltern kaufen. Nehmen Sie das Mindesthaltbarkeitsdatum der Behlter als Richtwert fr den Verbrauch. Verwenden Sie keine Kunststoffbehlter, die nicht aus PET hergestellt wurden.	2	1
Angaben zu Einzelpersonen und Familien, die bereits im System sind, lschen oder anzweifeln	1	2
Denken Sie daran, dass die Namen, die so schwer zu finden sind, wirkliche Menschen sind, denen Sie Ihr Dasein in dieser Welt verdanken und denen Sie in der Geisterwelt wieder begegnen werden.	2	1
Wahrscheinlich kennen die Schler bereits den Bericht, wie Enos den ganzen Tag und die ganze Nacht lang betet. Sie knnen ihnen helfen, diese Begebenheit noch besser zu verstehen. Wenn die Schler den Bericht lesen und darber sprechen, knnen sie erkennen, auf welche Weise und mit welcher Einstellung sie ihren Gebeten noch mehr Bedeutung geben knnen. Sie verstehen auch besser, wie sich die Segnungen des Shnopfers auf ihr Leben auswirken.	2	1
Bei einer Podiumsdiskussion, die er leitete, wies Elder M. Russell Ballard vom Kollegium der Zwlf Apostel darauf hin, dass es sinnvoll sei und man viel lernen knne, wenn man die Anweisungen in den Gemeinderatssitzungen Kapitel fr Kapitel liest und die Grundstze bespricht.	2	1
Elder Oaks zitiert Gordon B. Hinckley 1910-2008, den 15. Prsidenten der Kirche: Wir knnen hflich anderer Meinung sein, ohne unangenehm zu werden.	2	1
Die erwachsenen Jugendfhrer im Pfahl Hongkong forderten das Jugendkomitee auf, selbst ein Dienstprojekt auszusuchen. Nachdem sich die Jugendlichen erkundigt hatten, was vor Ort dringend gebraucht wurde, beschlossen sie, an einer Schule Kurse fr Kinder aus einkommensschwachen Familien durchzufhren. Etwa 125 Jugendliche erklrten mehr als 80 Schulkindern, wie man seine Talente entwickelt, gesundes Essen kocht, in der Familie Zeit freinander findet und gute Freundschaften aufbaut.	2	1
Eineinhalb Jahrhunderte lang hat das Massaker von Mountain Meadows diejenigen schockiert und bedrckt, die davon erfahren haben. Die Tragdie hat den Angehrigen der Opfer tiefes Leid zugefgt und den Nachkommen der Tter sowie Mitgliedern der Kirche generell das schmerzhafte Gefhl kollektiver Schuld aufgebrdet. Sie hat Kritik an der Kirche ausgelst und schmerzliche und schwierige Fragen aufgeworfen. Wie konnte das geschehen? Wie konnten Mitglieder der Kirche sich an einem solchen Verbrechen beteiligen?	2	1
Wir beauftragen Sie, in der Korea-Mission Seoul zu arbeiten.	2	2
Helfen Sie den Schlern mit der folgenden bersicht, die Grundstze in den Schriftstellen, die sie gelesen haben, zu besprechen und sich zu eigen zu machen:	2	1
Kurs zum Buch Lehre und Bndnisse Seminar	2	1
Ein Mann, der schon ber 80 war ein Mitglied der Kirche, das sein Geld mit Fahrradreparaturen verdiente und die Fahrrder der Missionare immer kostenlos reparierte , fuhr eines Abends bei strmendem Regen zur Wohnung der Missionare, um zu fragen, ob die Missionare mitkommen und seiner Frau einen Krankensegen geben wrden.	2	1
Die Internetseite teilt Ihnen mit, dass Ihr Passwort gendert worden ist.	1	2
Meine Augen haben den Erlser gesehen,	1	1
Wir sollen den Menschen vergeben, die uns verletzen oder beleidigen. Wenn wir ihnen vergeben, wird der himmlische Vater uns vergeben.	1	2
Alles Weitere, was Sie uns schreiben mchten	2	1
Memo of Suggestions, Seite 1ff., Church Union Board Executive Committee Minutes, Historisches Archiv der Kirche	1	2
So fgen Sie Notizen hinzu:	2	1
Klicken Sie ausgehend von einem Textfenster auf das Men Buch und anschlieend auf WortWrter suchen.	2	1
Weitere Einzelheiten geben Sie bitte auf Seite 2 dieses Formulars an.	1	1
Das Lied darf fr den gelegentlichen, nichtkommerziellen Gebrauch in Familie und Kirche vervielfltigt werden.	2	1
Auf dieser Welt ist nichts so persnlich, so frdernd oder so lebensverndernd wie der Einfluss einer rechtschaffenen Frau.	1	2
Die Startseite des FamilySearch-Indexierungsprogramms	1	1
Die Liebe zu Gott und der aufrichtige Wunsch, seine Gebote zu halten, bewegen uns zur Umkehr.	1	2
Das Programm wurde seit Minuten nicht genutzt. Mchten Sie angemeldet bleiben?	2	1
Wenn man sich bekehrt hat, freut man sich auf den Sonntag, weil es der Sabbat ist. Am Sonntag denkt man nicht: O nein, heute kann ich nicht mit meinen Freunden abhngen oder ins Kino gehen, sondern man denkt: Ich freue mich, dass ich in die Kirche gehen und mich mit Geistigem befassen kann und dass ich Zeit mit meiner Familie verbringen kann.	2	1
Junge Erwachsene auf der ganzen Welt gehorchen diesem Aufruf zum Dienen, aber es erfordert Glauben und Mut, dem Propheten zu folgen.	1	2
Es kam oft vor, dass ich zu ein, zwei Anzgen, die ein Kunde ausgesucht hatte, eine Auswahl von Hemden und Krawatten zusammenstellte, die ich fr passend hielt. Doch nachdem ich die Hemden und Krawatten vom einen in den anderen Bereich gebracht und neben die Anzge gelegt hatte, war das Ergebnis berraschend: Die Farben nderten sich in dem neuen Licht und passten nun gar nicht zusammen.	1	2
Besondere Einladung zur bertragung der CES-Fireside fr Junge Erwachsene im Mai 2009	1	2
Betont, wie wichtig wohlwollendes Verhalten ist.	2	1
Prsident Joseph Fielding Smith hat gesagt: Man kann zwar behaupten, dass wir nur eine Handvoll sind im Vergleich zur Weltbevlkerung, man kann uns aber auch mit dem Sauerteig vergleichen, der letztlich die ganze Welt durchdringen sollte und von dem der Heiland gesprochen hatte. Wir knnen und werden zu gegebener Zeit gewiss Einfluss auf die ganze Menschheit nehmen. Man wird wissen, wer wir sind und warum es uns gibt. Es mag hoffnungslos erscheinen, es ist eine monumentale Aufgabe, aber es ist nicht nur mglich, sondern auch gewiss, dass wir den Kampf gegen den Satan gewinnen werden.	2	1
Vom 11. bis 26. November 2011 finden die Tage der offenen Tr statt auer sonntags.	1	2
Auch Alessia war berzeugt, dass ihre Beziehung zu einem jungen Mann genau das war, was sie sein sollte. Unsere Geschichte war so wunderschn, dass wir meinten, unsere Beziehung wrde nie enden, auch wenn wir die blichen Schwierigkeiten hatten, die jedes Paar erlebt, erzhlt sie.	1	2
Brder und Schwestern, ist Ihnen klar, was wir haben? Erkennen Sie, welche Stelle wir in diesem groen Drama der Menschheitsgeschichte einnehmen?	1	2
Was haben die Propheten und Apostel darber gesagt?	1	1
Sie knnen die heiligen Handlungen des Tempels vollziehen lassen, wenn jemand seit zehn Jahren als tot gilt. Diese Regel gilt zum einen fr im Krieg vermisste, auf See verschollene oder fr tot erklrte Personen sowie zum anderen fr Personen, die unter Umstnden verschwunden sind, bei denen der Tod offensichtlich ist, jedoch keine Leiche gefunden wurde.	1	2
Wenn ein Einreicher Kontaktinformationen hinterlegt hat, knnen Sie diese nutzen, um mit ihm Kontakt aufzunehmen.	2	1
Achten Sie darauf, dass eine entspannte Atmosphre herrscht und die Jugendlichen sich miteinander wohl fhlen.	1	2
Dallin H. Oaks bert sich mit Barbara W. Winder zu Themen, die die Frauen in der Kirche betreffen	1	2
Bitten Sie die Schler, in diesen Versen Wrter oder Ausdrcke zu finden, die aussagen, was das geistige Fortkommen der Menschen behindert hat. Schreiben Sie die Antworten an die Tafel. Veranschaulichen Sie ihnen, dass diese Menschen zwar einmal geglaubt hatten, dass ihre schlechten Handlungen aber dazu fhrten, dass sie ihr Zeugnis vergaen und zur Schlechtigkeit zurckkehrten.	2	1
Folglich hilft uns der im Shnopfer enthaltene Aspekt, dass wir befhigt werden und Kraft bekommen, auf eine Weise zu sehen, zu handeln und gut zu werden, die wir mit unseren begrenzten irdischen Fhigkeiten nie erfassen oder erreichen knnten. Ich bezeuge, dass im Shnopfer des Erlsers wirklich eine Macht steckt, die uns Fhigkeiten verleiht. Ohne diese Macht aus dem Shnopfer, die mir Kraft gibt, knnte ich heute Morgen nicht vor Ihnen stehen.	2	1
Geben Sie bitte eine gltige E-Mail-Adresse ein.	1	1
Die Koordinatoren und leitenden Betreuer treffen sich, um die Versammlung fr Organisatorisches zu besprechen.	1	2
Whrend meiner Kindheit und frhen Jugend wurde ich hin- und hergereicht. Ich erlebte nie, wie es war, eine Familie zu haben, und bekam auch niemals ein Geschenk, nicht einmal zum Geburtstag oder zu Weihnachten.	2	1
Asenaca hat, obwohl sie erst 19 ist, in ihrem Leben schon viel Kummer erlebt. Dennoch strahlt sie Freude aus. Sie freut sich an der Gewissheit, dass sie zu einer ewigen Familie gehrt, denn ihre Familie wurde 2001 im Suva-Tempel gesiegelt, und sie freut sich an der Gewissheit, dass der himmlische Vater sie kennt und liebt.	1	1
Bei dem Tafelbild, was wir tun mssen, um ewiges Leben zu erlangen, sind unter anderem diese Antworten mglich:	2	1
Wir weisen warnend darauf hin, dass jemand, der die Bndnisse der Keuschheit verletzt, der seinen Ehepartner oder seine Nachkommen misshandelt oder missbraucht oder seinen familiren Verpflichtungen nicht nachkommt, eines Tages vor Gott Rechenschaft ablegen muss. Weiter warnen wir davor, dass der Zerfall der Familie ber die Menschen, Lnder und Vlker das Unheil bringen wird, das in alter und neuer Zeit von den Propheten vorhergesagt worden ist.	1	2
Wir wollen zumindest einen freundlichen, von christlicher Nchstenliebe geprgten Eindruck hinterlassen.	2	1
Das System bertrgt die Angaben nun in das Feld Speicherort und Dateiname.	2	1
Teil eines Lehrpaares kann nicht zur gleichen Zeit einen anderen Kurs unterrichten!	2	1
Aktualisierung des Archivs Kirchenliteratur erschienen	1	2
Das knnte wirklich Spa machen, dachte ich.	1	2
wie historische Dokumente gelesen und indexiert werden.	1	1
Wer bin ich, und wer kann ich einmal sein?	2	1
In den folgenden Gesprchen erzhlten mir die Missionare vom wunderbaren Evangelium der Wiederherstellung. Das Evangelium gab mir Hoffnung und neuen Lebensmut. Ein paar Wochen nachdem die Missionare an meine Tr geklopft hatten, lie ich mich taufen.	2	1
dass den Weg ich find;	1	2
Der Herr rettet die Israeliten bei ihrem Auszug vor den gyptern siehe SF, Exodus, Seite 56.	2	1
Warum ist Entscheidungsfreiheit wichtig?	1	2
Zustzlich zu Ihrer Aufgabe, Nichtmitgliedern das Evangelium zu verknden, werden Sie in der Washington-Mission Seattle ttig sein.	2	2
Er hat deutlich zu Ihnen gesprochen.	1	1
Antoine de Saint-Exupéry	1	1
Urheberrechtlich geschtztes Material darf ohne die Zustimmung des Rechteinhabers nicht versandt werden.	2	1
Diese Gefhle weiter zunehmen, und ich mir nicht vorstellen, ohne die Kirche zu leben.	2	1
In einem solchen Fall ist keine Besttigung durch die Mitglieder erforderlich.	1	2
Sie werden sich vorbereiten, das Evangelium auf Franzsisch zu verknden.	1	2
Wie kann ich nach dem Namen eines Vorfahren suchen, der an einem bestimmten Ort gewohnt hat?	2	1
Vorratshaltung in der Familie Broschre	2	1
0 muss eine gltige Zahl sein.	1	1
Aber wir waren bereit, sogar begierig, diese Herausforderungen anzunehmen, weil wir wussten, dass man nur dann, wenn Geist und Element untrennbar miteinander verbunden sind, einmal so werden kann wie der himmlische Vater siehe LuB 130:22 und eine Flle der Freude empfangen kann LuB 93:33. . . .	2	1
Der Herr mchte, dass ihr, meine jungen Freunde, von ganzem Herzen bestrebt seid, nach diesen Mastben und nach der Wahrheit in den heiligen Schriften zu leben. Wenn ihr dies tut, werdet ihr ber den Augenblick hinausschauen, und ihr werdet eine strahlend schne Zukunft vor euch sehen, die groe Chancen und Aufgaben fr euch bereithlt. Ihr werdet bereit seid, euch anzustrengen und lange durchzuhalten, und ihr werdet eine optimistische Lebensauffassung haben.	2	1
Ruft die Mama	2	2
nach Aufzeichnungen suchen, die sie bei sich zu Hause haben	1	1
Wie damals, als ich in Frankreich angekommen war, suchte ich Trost im Gebet, im Schriftstudium und durch den Heiligen Geist. Dadurch wurde mir viel deutlicher bewusst, welchen Trost uns der Heilige Geist und die Lehre, dass die Familie ewigen Bestand hat, bringen und dass das Shnopfer Jesu Christi sich wirklich auf unser Leben auswirkt, erzhlt sie.	2	1
Hast du gute Freunde?	1	1
sie berzeugen, dass Jesus der Messias ist	1	1
Das tat gut, weil wir keine Verwandten in der Nhe haben. Aber unsere Gemeindefamilie war fr uns da, erzhlt Bruder Godfrey, der dabei ein paar Trnen unterdrckt.	2	2
